code,denominacion,url,valor_turistico,confidencialidad,route_difficulty,latitude,longitude,eclipse_visibility,status,cloud_coverage,cloud_status,cloud_url,bortle_scale,bortle_status,horizon_status,shademap_status
IB200,"Valdeté, Perosancio y Tajugueras",https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200,3,Public,Low,42.130958,-2.159723,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.130958,-2.159723?iso=20260812",9,success,success,not_checked
IB200b,La Magdalena,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200B,3.5,Public,Medium,42.124479,-2.187944,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.124479,-2.187944?iso=20260812",2,success,success,success
IB200c,Los Cayos A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200C,6,Public,Low,42.084398,-2.088449,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.084398,-2.088449?iso=20260812",2,success,success,success
IB200d,Los Cayos B,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200D,3.1,Public,Medium,42.083378,-2.085237,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.083378,-2.085237?iso=20260812",,failed,success,success
IB200e,Los Cayos C,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200e,5.1,Public,Low,42.083306,-2.084852,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.083306,-2.084852?iso=20260812",9,success,success,not_checked
IB200f,Los Cayos S,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200f,4,Public,Medium,42.08115,-2.091261,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.081150,-2.091261?iso=20260812",9,success,success,not_checked
IB200g,Valdemayor,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200g,3.4,Public,Medium,42.199732,-2.528254,not_visible,success,37,success,"https://www.timeanddate.com/eclipse/in/@42.199732,-2.528254?iso=20260812",9,success,success,not_checked
IB200h,Virgen del Prado,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200h,5,Public,Low,41.963535,-1.966703,visible,success,28,success,"https://www.timeanddate.com/eclipse/in/@41.963535,-1.966703?iso=20260812",4,success,success,not_checked
IB200i,Valdecevillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200i,6.3,Public,Low,42.135837,-2.256116,not_visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.135837,-2.256116?iso=20260812",9,success,success,not_checked
IB200j,Virgen del Campo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200j,6.3,Public,Low,42.143737,-2.271836,not_visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.143737,-2.271836?iso=20260812",9,success,success,not_checked
IB200k,El Villar-Poyales,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200k,5.3,Public,Low,42.12579,-2.230414,not_visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.125790,-2.230414?iso=20260812",9,success,success,not_checked
IB200l,Peñaportillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200l,5.4,Public,Low,42.194942,-2.28516,visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.194942,-2.285160?iso=20260812",4,success,success,not_checked
IB200m,La Canal,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200m,5.5,Public,Low,42.195464,-2.283743,unknown,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.195464,-2.283743?iso=20260812",9,success,success,not_checked
