code,denominacion,url,valor_turistico,confidencialidad,route_difficulty,latitude,longitude,eclipse_visibility,terrain_clearance,status,cloud_coverage,cloud_status,cloud_url,horizon_status,shademap_status,darksky_sqm,darksky_bortle,darksky_darkness,darksky_status,brochure_file,brochure_title,brochure_url,brochure_source_url
IB200n,"Soto en Cameros 1, 2 y 3",https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200n,4.9,Public,Medium,42.297744,-2.414614,not_visible,-2.56,success,38,success,"https://www.timeanddate.com/eclipse/in/@42.297744,-2.414614?iso=20260812",success,success,20.94,4,67.7,success,,,,
IB200o,la Era del Peladillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200o,5.9,Public,Low,42.083328,-2.043049,not_visible,+0.13,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.083328,-2.043049?iso=20260812",success,success,21.35,4,78.7,success,,,,
IB200p,Las Navillas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200p,3.1,Public,Low,42.067068,-1.941051,visible,+4.69,success,30,success,"https://www.timeanddate.com/eclipse/in/@42.067068,-1.941051?iso=20260812",success,success,21.1,4,71.8,success,,,,
IB200q,La Torre,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200q,3.5,Public,Medium,42.075845,-2.040422,not_visible,-2.81,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.075845,-2.040422?iso=20260812",success,success,21.35,4,78.7,success,,,,
IB200r,Valdebrajes,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200r,3.5,Public,Low,42.073576,-1.973726,not_visible,-4.22,success,30,success,"https://www.timeanddate.com/eclipse/in/@42.073576,-1.973726?iso=20260812",success,success,21.21,4,74.7,success,,,,
IB200s,Las Losas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200s,5,Public,Low,42.153846,-2.279108,not_visible,-0.54,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.153846,-2.279108?iso=20260812",success,success,21.17,4,73.7,success,,,,
IB200t,La Senoba,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200t,5.8,Public,Low,42.130706,-2.267609,visible,+2.58,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.130706,-2.267609?iso=20260812",success,success,21.6,3,86.3,success,IB200t_la-senoba.pdf,La Senoba,data/brochures/IB200t_la-senoba.pdf,http://dinosauriosdelarioja.com/wp-content/uploads/2022/09/LA-SENOBA.pdf
IB200u,Navalsaz,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200u,6,Public,Low,42.120794,-2.208504,visible,+5.00,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.120794,-2.208504?iso=20260812",success,success,21.59,3,86.0,success,IB200u_navalsaz.pdf,Navalsaz,data/brochures/IB200u_navalsaz.pdf,http://dinosauriosdelarioja.com/wp-content/uploads/2022/09/NAVALSAZ.pdf
IB200v,La Pellejera,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200v,5.1,Public,Low,42.218676,-2.453835,visible,+5.53,success,38,success,"https://www.timeanddate.com/eclipse/in/@42.218676,-2.453835?iso=20260812",success,success,21.42,3,80.8,success,,,,
IB207,Yacimientos de dinosaurios del Jurásico-Cretácico en Galve,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB207,2.9,Public,Medium,40.644417,-0.869513,visible,+3.33,success,20,success,"https://www.timeanddate.com/eclipse/in/@40.644417,-0.869513?iso=20260812",success,success,21.69,3,89.2,success,,,,
IB208,Yacimiento de dinosaurios del Cretácico inferior de Vallivana (Morella),https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB208,3,Public,Low,40.544161,0.031853,visible,+0.8,success,26,success,"https://www.timeanddate.com/eclipse/in/@40.544161,0.031853?iso=20260812",success,success,21.62,3,86.9,success,,,,
IBs189,El Contadero,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IBs189,3,Public,Medium,42.193924,-2.408880,visible,+4.98,success,34,success,"https://www.timeanddate.com/eclipse/in/@42.193924,-2.408880?iso=20260812",success,success,21.6,3,86.3,success,,,,
T0001,Custom Test Site 1,N/A,5.0,Public,Medium,40.416800,-3.703800,visible,+5.47,custom,16,success,"https://www.timeanddate.com/eclipse/in/@40.416800,-3.703800?iso=20260812",success,success,17.88,9,21.9,success,,,,
T0002,Custom Test Site 2,N/A,5.0,Public,Medium,41.385100,2.173400,visible,-0.64,custom,38,success,"https://www.timeanddate.com/eclipse/in/@41.385100,2.173400?iso=20260812",success,success,17.41,9,18.4,success,,,,
